02/19/2011,36019,"Chocolate Chip Pancakes",BRK,"ANNENBERG ",Other,2,EACH,VGT
02/19/2011,89003,"Pork Sausage Pattie",BRK,"ANNENBERG ","Breakfast Meats",2,EACH,
02/19/2011,61041,"Egg Beaters",BRK,"ANNENBERG ","Breakfast Entrees",4,OZ,VGT
02/19/2011,61042,"Egg Whites",BRK,"ANNENBERG ","Breakfast Entrees",4,OZ,VGT
02/19/2011,61009,"Hard Cooked Eggs",BRK,"ANNENBERG ","Breakfast Entrees",2,EACH,VGT
02/19/2011,61003,"Scrambled Eggs",BRK,"ANNENBERG ","Breakfast Entrees",4,OZ,VGT
02/19/2011,185099,"Triple Berry Tea Bread",BRK,"ANNENBERG ","Breakfast Bakery",1,SLICE,VGT
02/19/2011,191001,"Warmed Pancake Syrup",BRK,"ANNENBERG ","Breakfast Misc",1,OZL,VGN
02/19/2011,161048,"Shredded Hashbrowns",BRK,"ANNENBERG ","Starch & Potatoes",4,OZ,VGN
02/19/2011,22505,"Cream of Tomato Soup",LUN,"ANNENBERG ","Today's Soup",6,OZL,VGT
02/19/2011,171071,"Edamame Beans",LUN,"ANNENBERG ","Salad Bar",1,OZ,VGN
02/19/2011,48006,"Flaked Tuna",LUN,"ANNENBERG ","Salad Bar",2,OZ,
02/19/2011,171073,"Green Beans",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/19/2011,171009,"Green Peas",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/19/2011,175054,"HUHDS Salad Mix",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/19/2011,161056,"Hard Cooked Eggs",LUN,"ANNENBERG ","Salad Bar",1,EACH,VGT
02/19/2011,178008,"Peeled Baby Carrots",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/19/2011,164021,"Quinoa for your Salad",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGT
02/19/2011,505010,"Spicy Hummus",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/19/2011,175050,"Spinach Salad Base",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/19/2011,176067,"Suntan Pepper Strips",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/19/2011,143001,Tofu,LUN,"ANNENBERG ","Salad Bar",2,OZ,"(OG) VGN"
02/19/2011,175021,"Tomato Wedges",LUN,"ANNENBERG ","Salad Bar",2,OZ,"LOC VGN"
02/19/2011,48501,"Chicken Salad",LUN,"ANNENBERG ","Sandwich Bar",4,OZ,
02/19/2011,175052,"Diced Tomatoes",LUN,"ANNENBERG ","Sandwich Bar",1,OZ,VGN
02/19/2011,221002,"Dill Pickle Spears",LUN,"ANNENBERG ","Sandwich Bar",2,EACH,VGN
02/19/2011,217008,Pretzles,LUN,"ANNENBERG ","Sandwich Bar",1,OZ,VGN
02/19/2011,175055,"Shredded Lettuce",LUN,"ANNENBERG ","Sandwich Bar",1,OZ,VGN
02/19/2011,176007,"Sliced Red Onions",LUN,"ANNENBERG ","Sandwich Bar",1,OZ,"(OG) VGN"
02/19/2011,71039,"Sliced Roast Beef",LUN,"ANNENBERG ","Sandwich Bar",4,OZ,
02/19/2011,113520,"Smoked Turkey Breast",LUN,"ANNENBERG ","Sandwich Bar",4,OZ,
02/19/2011,111055,"Buffalo Chicken Wings",LUN,"ANNENBERG ",Entrees,5,EACH,
02/19/2011,175024,"Celery Sticks",LUN,"ANNENBERG ",Accompaniments,2,OZ,VGN
02/19/2011,161002,"French Fries Straight Cut",LUN,"ANNENBERG ","Starch & Potatoes",4,OZ,VGN
02/19/2011,175088,"Steamed Broccoli",LUN,"ANNENBERG ",Vegetables,4,OZ,VGN
02/19/2011,171036,"Steamed Whole Green Beans",LUN,"ANNENBERG ",Vegetables,4,OZ,VGN
02/19/2011,182002,"Oatmeal Raisin Cookie",LUN,"ANNENBERG ",Desserts,1,EACH,VGT
