02/11/2011,89003,"Pork Sausage Pattie",BRK,"ANNENBERG ","Breakfast Meats",2,EACH,
02/11/2011,61041,"Egg Beaters",BRK,"ANNENBERG ","Breakfast Entrees",4,OZ,VGT
02/11/2011,61042,"Egg Whites",BRK,"ANNENBERG ","Breakfast Entrees",4,OZ,VGT
02/11/2011,36005,"French Toast",BRK,"ANNENBERG ","Breakfast Entrees",1,EACH,VGT
02/11/2011,161049,"Hard Cooked Eggs",BRK,"ANNENBERG ","Breakfast Entrees",1,EACH,VGT
02/11/2011,61009,"Hard Cooked Eggs",BRK,"ANNENBERG ","Breakfast Entrees",1,EACH,VGT
02/11/2011,142539,Hummus,BRK,"ANNENBERG ","Breakfast Entrees",2,OZ,VGN
02/11/2011,61003,"Scrambled Eggs",BRK,"ANNENBERG ","Breakfast Entrees",4,OZ,VGT
02/11/2011,213041,"Whole Wheat Corn Muffin",BRK,"ANNENBERG ","Breakfast Bakery",1,EACH,VGT
02/11/2011,191001,"Warmed Pancake Syrup",BRK,"ANNENBERG ","Breakfast Misc",1,OZL,VGN
02/11/2011,505079,"Home Fried Potatoes",BRK,"ANNENBERG ","Starch & Potatoes",4,OZ,VGN
02/11/2011,31006,"Cream of Wheat",BRK,"ANNENBERG ","Make or Build Your Own",6,OZL,VGN
02/11/2011,24502,"New England Clam Chowder",LUN,"ANNENBERG ","Today's Soup",6,OZL,
02/11/2011,23537,"Quinoa and Vegetable Soup",LUN,"ANNENBERG ","Today's Soup",6,OZL,VGN
02/11/2011,175076,"Broccoli Florets",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/11/2011,173012,"Chick Peas",LUN,"ANNENBERG ","Salad Bar",1,OZ,VGN
02/11/2011,171060,"Corn Niblets",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/11/2011,163024,Couscous,LUN,"ANNENBERG ","Salad Bar",3-Feb,CUP,VGT
02/11/2011,176066,"Field Greens",LUN,"ANNENBERG ","Salad Bar",2,OZ,"(OG) VGN"
02/11/2011,48006,"Flaked Tuna",LUN,"ANNENBERG ","Salad Bar",2,OZ,
02/11/2011,161056,"Hard Cooked Eggs",LUN,"ANNENBERG ","Salad Bar",1,EACH,VGT
02/11/2011,48016,Hummus,LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/11/2011,176034,"Shredded Carrots",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/11/2011,173007,"Sliced Beets",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/11/2011,175022,"Sliced Cucumbers",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/11/2011,175050,"Spinach Salad Base",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/11/2011,143001,Tofu,LUN,"ANNENBERG ","Salad Bar",2,OZ,"(OG) VGN"
02/11/2011,175021,"Tomato Wedges",LUN,"ANNENBERG ","Salad Bar",2,OZ,"LOC VGN"
02/11/2011,221019,"Kosher Dill Pickle Chips",LUN,"ANNENBERG ","Sandwich Bar",3,EACH,VGN
02/11/2011,175035,"Leaf Lettuce",LUN,"ANNENBERG ","Sandwich Bar",1,OZ,VGN
02/11/2011,48507,"Seafood Salad",LUN,"ANNENBERG ","Sandwich Bar",4,OZ,
02/11/2011,176007,"Sliced Red Onions",LUN,"ANNENBERG ","Sandwich Bar",1,OZ,"(OG) VGN"
02/11/2011,71039,"Sliced Roast Beef",LUN,"ANNENBERG ","Sandwich Bar",4,OZ,
02/11/2011,175036,"Sliced Tomatoes",LUN,"ANNENBERG ","Sandwich Bar",1,OZ,VGN
02/11/2011,113520,"Smoked Turkey Breast",LUN,"ANNENBERG ","Sandwich Bar",4,OZ,
02/11/2011,145392,"Cajun Black Bean Cakes",LUN,"ANNENBERG ",Entrees,1,EACH,VGN
02/11/2011,250064,"Chicken Quesadilla",LUN,"ANNENBERG ",Entrees,1,EACH,
02/11/2011,504066,"Crispy Flounder w/Daikon & Soy",LUN,"ANNENBERG ",Entrees,4,OZ,
02/11/2011,221004,"Sour Cream",LUN,"ANNENBERG ",Accompaniments,1,OZ,VGT
02/11/2011,221003,"Tartar Sauce",LUN,"ANNENBERG ",Accompaniments,1,OZL,VGT
02/11/2011,144018,"Thick and Chunky Mild Salsa",LUN,"ANNENBERG ",Accompaniments,2,OZL,VGN
02/11/2011,161002,"French Fries Straight Cut",LUN,"ANNENBERG ","Starch & Potatoes",4,OZ,VGN
02/11/2011,502074,"Steamed Carrots",LUN,"ANNENBERG ",Vegetables,4,OZ,VGN
02/11/2011,171036,"Steamed Whole Green Beans",LUN,"ANNENBERG ",Vegetables,4,OZ,VGN
02/11/2011,182006,"Sugar Cookie",LUN,"ANNENBERG ",Desserts,1,EACH,VGT
02/11/2011,501033,"Boca Burger for Grill",LUN,"ANNENBERG ","From the Grille",1,EACH,VGN
02/11/2011,117003,Chickwich,LUN,"ANNENBERG ","From the Grille",1,EACH,
02/11/2011,75012,"Crispy Fish Sandwich",LUN,"ANNENBERG ","From the Grille",1,EACH,
02/11/2011,61041,"Egg Beaters",LUN,"ANNENBERG ","From the Grille",4,OZ,VGT
02/11/2011,61042,"Egg Whites",LUN,"ANNENBERG ","From the Grille",4,OZ,VGT
02/11/2011,142055,"Garden Burger",LUN,"ANNENBERG ","From the Grille",1,EACH,VGT
02/11/2011,145070,"Grilled Bean Burrito",LUN,"ANNENBERG ","From the Grille",1,EACH,VGN
02/11/2011,138003,"Grilled Cheese Sandwich",LUN,"ANNENBERG ","From the Grille",1,EACH,VGT
02/11/2011,138014,"Grilled Chicken",LUN,"ANNENBERG ","From the Grille",1,EACH,
02/11/2011,77022,"Grilled Frankfurter",LUN,"ANNENBERG ","From the Grille",1,EACH,
02/11/2011,138015,"Grilled Ham and Cheese",LUN,"ANNENBERG ","From the Grille",1,EACH,
02/11/2011,77003,"Grilled Hamburger",LUN,"ANNENBERG ","From the Grille",1,EACH,
02/11/2011,133026,"Turkey Burger",LUN,"ANNENBERG ","From the Grille",1,EACH,
02/11/2011,505056,"Vegan Chicken Grill Patty",LUN,"ANNENBERG ","From the Grille",1,EACH,VGN
02/11/2011,143059,"Vegan Dog",LUN,"ANNENBERG ","From the Grille",1,EACH,VGN
02/11/2011,77073,"Chickpeas w/ Garlic & Lemon",LUN,"ANNENBERG ","Bean, Whole Grain",4,OZ,VGN
02/11/2011,505064,"Brown Rice",LUN,"ANNENBERG ","Brown Rice Station",3,OZ,VGN
02/11/2011,221050,"Natural Lite Soy Sauce",LUN,"ANNENBERG ","Brown Rice Station",1,TSP,VGN
02/11/2011,157037,"Rice Vinegar",LUN,"ANNENBERG ","Brown Rice Station",1,TSP,VGN
02/11/2011,157033,"Sriracha Chili Sauce",LUN,"ANNENBERG ","Brown Rice Station",1,TSP,VGN
02/11/2011,42068,"Classic Macaroni Salad",LUN,"ANNENBERG ","Production Salads",4,OZ,VGT
02/11/2011,42089,"Mediterranean Tomato Salad",LUN,"ANNENBERG ","Production Salads",4,OZ,VGT
02/11/2011,48516,"Quinoa and Dried Cherry Salad",LUN,"ANNENBERG ","Production Salads",4,OZ,VGN
02/11/2011,501070,"Multigrain Spaghetti",LUN,"ANNENBERG ","Pasta a la Carte",4,OZ,VGT
02/11/2011,164026,"Penne Pasta",LUN,"ANNENBERG ","Pasta a la Carte",4,OZ,VGN
02/11/2011,153005,"Red Spaghetti Sauce",LUN,"ANNENBERG ","Pasta a la Carte",4,OZL,VGN
